method,seed,num_circles,budget,length,risk,elapsed,ts
partition_radius,5,4,100,934.9873975149795,100,0.5379960536956787,1699006807.789715
partition_st,5,4,100,936.622239810743,100,0.4255681037902832,1699006808.21529
layers_solver,5,4,100,938.861657066478,85.1424689690383,29.636102199554443,1699006837.851491
partition_radius,5,4,100,902.9392802396671,100,0.32660818099975586,1699006838.1788979
partition_st,5,4,100,904.2502892760396,100,0.3133399486541748,1699006838.492246
layers_solver,5,4,100,903.0126382309846,72.97737218673987,30.016597986221313,1699006868.508925
partition_radius,5,4,100,900.0415785572918,100,0.39594507217407227,1699006868.905675
partition_st,5,4,100,900.0415785572918,100,0.3249080181121826,1699006869.230597
layers_solver,5,4,100,901.5177822571582,9.015177822571581e-05,29.973786115646362,1699006899.204478
partition_radius,5,4,100,936.3877518529347,100,0.44251394271850586,1699772153.6937752
partition_st,5,4,100,936.622239810743,100,0.5048418045043945,1699772154.198626
visibility,5,4,100,1332.9937938950848,80.69362537564174,2.226961851119995,1699772156.425596
layers_solver,5,4,100,938.861657066478,85.1424689690383,29.06479811668396,1699772185.490409
partition_radius,5,4,100,904.2502892760396,100,0.2721700668334961,1699772185.7633128
partition_st,5,4,100,904.2502892760396,100,0.3052029609680176,1699772186.0685241
visibility,5,4,100,1105.9583808456732,0.00011059583808456733,2.2053496837615967,1699772188.2738838
layers_solver,5,4,100,903.0126382309846,72.97737218673987,28.520731210708618,1699772216.7946281
partition_radius,5,4,100,900.0415785572918,100,0.3058152198791504,1699772217.1011882
partition_st,5,4,100,900.0415785572918,100,0.315258264541626,1699772217.4164531
visibility,5,4,100,900.0200870350573,9.000200870350573e-05,2.1844358444213867,1699772219.600899
layers_solver,5,4,100,901.5177822571582,9.015177822571581e-05,28.94917130470276,1699772248.550085
partition_radius,5,4,200,933.5180003680318,200,0.6921708583831787,1699772685.7928078
partition_st,5,4,200,936.1382189426773,200,0.5166370868682861,1699772686.3094552
visibility,5,4,200,927.6651037427023,182.34186050157155,2.576688289642334,1699772688.886153
layers_solver,5,4,200,922.4426320294457,156.8232416172228,35.87353706359863,1699772724.759703
partition_radius,5,4,300,928.1095119692656,300,1.0555758476257324,1699772725.815287
partition_st,5,4,300,932.278288362789,300,0.559133768081665,1699772726.374434
visibility,5,4,300,908.7177414922396,275.6713402156356,2.509031057357788,1699772728.883481
layers_solver,5,4,300,907.3509116154662,253.56753825899983,41.69476628303528,1699772770.578261
partition_radius,5,4,400,913.8954096057757,400,1.1952698230743408,1699772771.77354
partition_st,5,4,400,932.2203862979003,400,0.7194969654083252,1699772772.493046
visibility,5,4,400,905.0975315552104,314.7040419533793,2.6342780590057373,1699772775.1273441
layers_solver,5,4,400,904.291434969694,364.6560652036064,47.46493220329285,1699772822.592289
