method,seed,num_circles,budget,length,risk,elapsed,ts
partition_radius,23,6,900,900.2471245638153,188.6400086825328,0.26032090187072754,1701893749.317307
partition_st,23,6,900,905.340196419385,75.9574953587192,0.6581337451934814,1701893749.9755552
visibility,23,6,1000,900.0561034764067,208.69954211903422,14.445132732391357,1701893764.4206998
partition_optimal,23,6,1000,900.2895908398043,186.39200800277013,1.0485539436340332,1701893765.469874
partition_radius,23,6,1000,900.2471245638153,188.6400086825328,0.26403188705444336,1701893765.733912
partition_st,23,6,1000,905.3088116716907,78.34734008064663,0.6192278861999512,1701893766.3531451
visibility,24,6,0,914.5107293394553,96.08356283224677,10.116482019424438,1701893776.470355
partition_optimal,24,6,0,902.516653965047,0.0,0.554370641708374,1701893777.025345
partition_radius,24,6,0,902.516653965047,0.0,0.5512771606445312,1701893777.576627
partition_st,24,6,0,902.516653965047,0.0,0.5524139404296875,1701893778.129046
visibility,24,6,100,900.1399348802936,57.77939424803203,10.470687866210938,1701893788.599745
partition_optimal,24,6,100,901.0656913275241,57.75969514766402,0.8833029270172119,1701893789.483468
partition_radius,24,6,100,900.4897881250656,31.08991512873609,0.5683548450469971,1701893790.051829
partition_st,24,6,100,900.5265184755757,24.876838065022547,0.5609171390533447,1701893790.612752
visibility,24,6,200,900.1399348802936,57.77939424803203,10.949753046035767,1701893801.562517
partition_optimal,24,6,200,901.0656913275241,57.75969514766402,0.8872418403625488,1701893802.4502249
partition_radius,24,6,200,900.20526750489,62.378740645837155,0.7434921264648438,1701893803.193722
partition_st,24,6,200,900.3238007221086,50.05062975286501,0.6864340305328369,1701893803.880162
visibility,24,6,300,900.1399348802936,57.77939424803203,11.278755903244019,1701893815.1589298
partition_optimal,24,6,300,901.0656913275241,57.75969514766402,0.8837478160858154,1701893816.043104
partition_radius,24,6,300,900.0807412804145,82.25184103011881,1.0851068496704102,1701893817.1282282
partition_st,24,6,300,900.1017201703671,75.14402081544901,0.946331262588501,1701893818.074566
visibility,24,6,400,900.1399348802936,57.77939424803203,11.794856786727905,1701893829.8694358
partition_optimal,24,6,400,901.0656913275241,57.75969514766402,0.8829019069671631,1701893830.752779
partition_radius,24,6,400,900.0807412804145,82.25184103011881,1.4826319217681885,1701893832.2354171
partition_st,24,6,400,900.0807412804145,82.25184103011881,1.2690989971160889,1701893833.50452
visibility,24,6,500,900.1399348802936,57.77939424803203,12.577096939086914,1701893846.0816379
partition_optimal,24,6,500,901.0656913275241,57.75969514766402,0.8923280239105225,1701893846.9744482
partition_radius,24,6,500,900.0807412804145,82.25184103011881,1.8238840103149414,1701893848.798338
partition_st,24,6,500,900.0807412804145,82.25184103011881,1.5386340618133545,1701893850.3369799
visibility,24,6,600,900.1399348802936,57.77939424803203,13.005191087722778,1701893863.3421838
partition_optimal,24,6,600,901.0656913275241,57.75969514766402,0.8824758529663086,1701893864.2251048
partition_radius,24,6,600,900.0807412804145,82.25184103011881,1.718425989151001,1701893865.943537
partition_st,24,6,600,900.0807412804145,82.25184103011881,1.7055392265319824,1701893867.6490822
