method,seed,num_circles,budget,length,risk,elapsed,ts
partition_radius,0,6,0,944.6860822496322,0,0.8760428428649902,1695851061.196395
partition_st,0,6,0,944.6860822496322,0,0.7682938575744629,1695851061.9646988
visibility,0,6,0,972.0235387624157,0,6.871083974838257,1695851068.835791
partition_radius,0,6,100,939.8681793483505,100,0.7523040771484375,1695851069.588105
partition_st,0,6,100,939.0608265551967,100,0.8444688320159912,1695851070.432587
visibility,0,6,100,917.7352441874183,80.69359334978678,7.095544815063477,1695851077.528146
partition_radius,0,6,200,937.5993178195124,200,0.8797459602355957,1695851078.407905
partition_st,0,6,200,936.1898418615573,200,0.9935688972473145,1695851079.401487
visibility,0,6,200,928.8863538318064,167.0148948921378,7.562319040298462,1695851086.963818
partition_radius,0,6,300,933.4842509985916,300,1.1440598964691162,1695851088.1078908
partition_st,0,6,300,935.6497990868215,300,0.9083619117736816,1695851089.016261
visibility,0,6,300,914.0586622976953,281.2702303892687,7.959101915359497,1695851096.9753752
partition_radius,0,6,400,928.151890466922,400,1.6507189273834229,1695851098.626106
partition_st,0,6,400,934.630568588632,400,1.1568551063537598,1695851099.782969
visibility,0,6,400,906.8116946674652,372.5708930565249,8.680241107940674,1695851108.463228
partition_radius,0,6,500,921.6491417147865,500,2.192409038543701,1695851110.655647
partition_st,0,6,500,933.6838675506307,500,1.3598237037658691,1695851112.015481
visibility,0,6,500,902.6356707495676,466.9814671405311,9.557054996490479,1695851121.5725498
partition_radius,0,6,600,912.7182241706691,600,2.494410991668701,1695851124.066973
partition_st,0,6,600,932.8047699194764,600,1.5077009201049805,1695851125.574683
visibility,0,6,600,900.4369028713497,527.3258674586593,9.851432800292969,1695851135.426128
partition_radius,0,6,700,900.1263428360567,700,0.2760350704193115,1695851135.702176
partition_st,0,6,700,931.3091384484273,700,1.2973079681396484,1695851136.999496
visibility,0,6,700,900.4369028713497,527.3258674586593,10.051769018173218,1695851147.051283
partition_radius,1,6,0,918.5382792449161,0,0.6371030807495117,1695851147.688854
partition_st,1,6,0,918.5382792449161,0,0.6332268714904785,1695851148.32209
visibility,1,6,0,970.265415590509,0,6.9472267627716064,1695851155.269325
partition_radius,1,6,100,924.8594554491448,100,0.6313080787658691,1695851155.900643
partition_st,1,6,100,915.4834648227284,100,0.6536879539489746,1695851156.5543418
visibility,1,6,100,907.4573024719435,73.22841384244254,7.147335052490234,1695851163.701688
partition_radius,1,6,200,912.9794028632407,200,0.7764661312103271,1695851164.478163
partition_st,1,6,200,914.6561372806605,200,0.750169038772583,1695851165.228342
visibility,1,6,200,904.1016529465444,155.24816052889312,7.7096168994903564,1695851172.9379709
partition_radius,1,6,300,910.401122034623,300,1.0608961582183838,1695851173.9988768
partition_st,1,6,300,913.7316673615117,300,0.7639272212982178,1695851174.7628129
visibility,1,6,300,900.7624505943984,274.45314122986474,8.174171924591064,1695851182.9369972
partition_radius,1,6,400,907.165967618188,400,1.4752991199493408,1695851184.412312
partition_st,1,6,400,912.3914014823068,400,0.7642459869384766,1695851185.176567
visibility,1,6,400,900.0991594640307,298.49556568831173,8.772927045822144,1695851193.949506
partition_radius,1,6,500,902.9690601520205,500,1.9130949974060059,1695851195.862613
partition_st,1,6,500,910.8977210970402,500,0.8499970436096191,1695851196.712619
visibility,1,6,500,900.0991594640307,298.49556568831173,9.293786764144897,1695851206.006418
partition_radius,1,6,600,900.703027894479,600,1.9706501960754395,1695851207.9770792
partition_st,1,6,600,909.0897509923086,600,0.9365310668945312,1695851208.913619
visibility,1,6,600,900.0991594640307,298.49556568831173,9.682461977005005,1695851218.596094
partition_radius,1,6,700,900.1139199324159,700,0.2703061103820801,1695851218.86641
partition_st,1,6,700,906.7064083846738,700,1.023726224899292,1695851219.890144
visibility,1,6,700,900.0991594640307,298.49556568831173,10.182096004486084,1695851230.072253
partition_radius,2,6,0,929.6798684235656,0,0.6259071826934814,1695851230.698623
partition_st,2,6,0,929.6798684235656,0,0.6274697780609131,1695851231.326102
visibility,2,6,0,905.6981069077013,0,7.0178399085998535,1695851238.3439538
partition_radius,2,6,100,905.8859882389105,100,0.6484739780426025,1695851238.992437
partition_st,2,6,100,906.0899595066192,100,0.633807897567749,1695851239.6262531
visibility,2,6,100,910.1462351991944,83.80269646670823,7.247056007385254,1695851246.8733199
partition_radius,2,6,200,904.6186203670208,200,0.8319129943847656,1695851247.7052438
partition_st,2,6,200,905.322452683031,200,0.802696943283081,1695851248.5079522
visibility,2,6,200,900.0060739225008,146.46645826036726,7.69710898399353,1695851256.2050729
partition_radius,2,6,300,902.8906575866233,300,1.1741509437561035,1695851257.379234
partition_st,2,6,300,904.0324016884542,300,1.1231663227081299,1695851258.5024111
visibility,2,6,300,900.0060739225008,146.46645826036726,8.235309839248657,1695851266.737737
partition_radius,2,6,400,901.6860820379652,400,1.6180408000946045,1695851268.355789
partition_st,2,6,400,903.2178293263318,400,1.4602510929107666,1695851269.8160489
visibility,2,6,400,900.0060739225008,146.46645826036726,8.627053022384644,1695851278.443114
partition_radius,2,6,500,900.7761609779348,500,1.9733619689941406,1695851280.416488
partition_st,2,6,500,903.0114782779528,500,1.4143989086151123,1695851281.8308952
visibility,2,6,500,900.0060739225008,146.46645826036726,9.118849039077759,1695851290.949759
partition_radius,2,6,600,900.1287509581626,600,1.9731528759002686,1695851292.922921
partition_st,2,6,600,902.7927315261645,600,1.218228816986084,1695851294.1411588
visibility,2,6,600,900.0060739225008,146.46645826036726,9.711063146591187,1695851303.852235
partition_radius,2,6,700,900.1213605617871,700,0.2782399654388428,1695851304.130498
partition_st,2,6,700,902.5308146193267,700,0.916672945022583,1695851305.04718
visibility,2,6,700,900.0060739225008,146.46645826036726,10.211373805999756,1695851315.258566
partition_radius,3,6,0,922.296630474698,0,0.9459280967712402,1695851316.204984
partition_st,3,6,0,922.296630474698,0,0.9282922744750977,1695851317.133285
